,Imóvel,Preço,Quartos,Área,Casas de banhos
0,Escritório Matosinhos,Arrendamento 350 €,1 ,45 m2 ,- 
1,Escritório Porto Boavista,Arrendamento 370 €,1 ,40 m2 ,- 
2,Escritório junto ao Covelo,Arrendamento 500 €,1 ,73 m2 ,- 
3,LOJA COM TERRAÇO REMODELADA PADRÃO DA LEGUA,Arrendamento 550 €,3 ,110 m2 ,- 
4,Café nos Altos,Arrendamento 575 €,1 ,53 m2 ,- 
5,T1 lavra condominio fechado junto a praia,Arrendamento para férias 650 €,5 ,65 m2 ,- 
6,T1 duplex Rua da Restauração,Arrendamento 650 €,1 ,60 m2 ,1 
7,T1+1 com varanda rua da Cedofeita,Arrendamento 825 €,1 ,100 m2 ,- 
8,T3 Matosinhos Centro,Arrendamento 850 €,1 ,100 m2 ,- 
9,T1 à Rotunda Boavista,Arrendamento 1.200 €,0 ,62 m2 ,- 
10,Loja com duas frentes com espaço exterior próxima Av. Boavista,Arrendamento 1.450 €,2 ,173 m2 ,- 
11,Escritório Montes Burgos,Arrendamento 1.500 €,2 ,200 m2 ,- 
12,Loja ou Armazém Porto Carolina Michaelis,Arrendamento 1.550 €,2 ,240 m2 ,- 
13,Loja Centro Matosinhos,Arrendamento 1.800 €,1 ,180 m2 ,- 
14,Armazém -Leça do Balio saida da Via Norte,Arrendamento 2.150 €,2 ,785 m2 ,- 
15,Arrendamento Armazém,Arrendamento 2.500 €,2 ,690 m2 ,- 
16,Escritório Zona Industrial Porto,Arrendamento 2.550 €,0 ,167 m2 ,- 
17,Terreno com 9950 m2 São Mamede de Infesta,Arrendamento 3.200 €,0 ,- ,- 
18,Excelente Moradia V5 Leça do Balio,Arrendamento 3.200 €,1 ,305 m2 ,- 
19,Escritório zona Industrial Porto,Arrendamento 4.350 €,2 ,294 m2 ,- 
20,Arrendamento Terreno,Arrendamento 5.000 €,0 ,1.000 m2 ,- 
21,Lugar de Garagem Lordelo do Ouro,Venda 5.000 €,1 ,11 m2 ,- 
22,Escritório Porto Zona industrial,Arrendamento 9.750 €,1 ,603 m2 ,- 
23,Loja centro da Maia,Venda 10.000 €,2 ,9 m2 ,- 
24,Lugar aparcamento Porto,Venda 11.000 €,2 ,14 m2 ,- 
25,Escritório de 2 pisos Paranhos,Arrendamento 12.850 €,1 ,2.335 m2 ,- 
26,T1 Vila Nova de Gaia,Venda 13.000 €,2 ,74 m2 ,- 
27,Lugar de aparcamento Porto,Venda 14.000 €,1 ,38 m2 ,- 
28,Venda Escritório,Venda 15.000 €,2 ,33 m2 ,- 
29,Arrecadação Aldoar,Venda 16.000 €,1 ,15 m2 ,- 
30,Garagem Águas Santas,Venda 17.500 €,1 ,40 m2 ,- 
